t_s,T_true,T_meas,T_filt,u_raw,u_final,state
1436,21.421971091335582,21.562242739450099,21.756154353732832,0,0,0
1437,21.415127149152912,21.606427220076192,21.742542796127683,0,0,0
1438,21.408296894854608,21.300819188947951,21.702386104565889,0,0,0
1439,21.4014803010649,21.695812420394137,21.701788496913913,0,0,0
1440,21.394677340462771,21.648800962387117,21.696971448320568,0,0,0
1441,21.387887985781845,21.28465773616195,21.659488383578875,0,0,0
1442,21.381112209810279,21.562086276476851,21.650633646569599,0,0,0
1443,21.374349985390658,21.437640881998846,21.631270667972256,0,0,0
1444,21.367601285419877,21.672206699716266,21.634992125403528,0,0,0
1445,21.360866082849036,21.677388696313336,21.638846359122603,0,0,0
1446,21.354144350683338,21.837752004611922,21.656928690530723,0,0,0
1447,21.34743606198197,21.842980784926016,21.673842517293931,0,0,0
1448,21.340741189858004,21.33413057938208,21.642959613847399,0,0,0
1449,21.334059707478289,21.294856136171422,21.611313843149581,0,0,0
1450,21.327391588063332,21.659248803927792,21.61567156685669,0,0,0
1451,21.320736804887204,21.861665517754918,21.638034653301983,0,0,0
1452,21.314095331277429,21.828053987699878,21.655309138247247,0,0,0
1453,21.307467140614875,21.258298049521379,21.619217221090349,0,0,0
1454,21.300852206333644,22.207730823694263,21.672718457690703,0,0,0
1455,21.294250501920978,21.841351642488107,21.688048747217739,0,0,0
1456,21.287662000917134,21.7624018971031,21.694808124480044,0,0,0
1457,21.281086676915301,21.553214767323968,21.681936001102219,0,0,0
1458,21.274524503561469,21.431000643447053,21.659123695860842,0,0,0
1459,21.267975454554346,21.806181020507776,21.672492543556018,0,0,0
1460,21.261439503645239,21.03933850525102,21.614933085528293,0,0,0
1461,21.254916624637946,21.505621364015862,21.604995656299891,0,0,0
1462,21.248406791388671,21.340918316192322,21.580988625381021,0,0,0
1463,21.241909977805893,21.512794080829277,21.574789121330863,0,0,0
1464,21.235426157850281,21.963039927391762,21.610084649154579,0,0,0
1465,21.22895530553458,21.625393973581925,21.611476405920701,0,0,0
1466,21.222497394923511,21.754367470905517,21.624466502737501,0,0,0
1467,21.216052400133666,21.578457445105794,21.62028386113462,0,0,0
1468,21.209620295333398,21.565442995698906,21.615298327913191,0,0,0
1469,21.203201054742731,21.192701414931271,21.576880426733016,0,0,0
1470,21.196794652633244,21.412057387409821,21.561896514067271,0,0,0
1471,21.190401063327979,21.6245605044219,21.567593240463147,0,0,0
1472,21.184020261201322,21.667966233005803,21.576718057967025,0,0,0
1473,21.177652220678919,21.176437512328587,21.540328917454438,0,0,0
1474,21.171296916237562,21.064152856157211,21.497040184609236,1,1,0
1475,21.199954322405087,21.473907060371246,21.494937173314874,1,1,0
1476,21.228554413760278,21.702921451576618,21.513844834975032,1,1,0
1477,21.257097304932756,21.191782710197245,21.484566459995232,1,1,0
1478,21.285583110322889,21.841436485676372,21.517009189602607,1,1,0
1479,21.314011944102244,21.886261596481464,21.550577590227959,1,1,0
1480,21.34238392021404,16.489598455554344,21.090488577984903,1,1,0
1481,21.370699152373611,21.643295333770283,21.140743737601756,1,1,0
1482,21.398957754068864,21.79231165420498,21.199977184565686,1,1,0
1483,21.427159838560726,21.375746657117219,21.215956227524916,1,1,0
1484,21.455305518883605,21.458900090751609,21.238042033272798,1,1,0
1485,21.483394907845838,21.337998107703811,21.247128949130161,1,1,0
1486,21.511428118030146,21.806084517687978,21.297943091726328,1,1,0
1487,21.539405261794087,21.900364010289131,21.352708629777492,1,1,0
1488,21.5673264512705,21.91130372416853,21.403490001994861,1,1,0
1489,21.59519179836796,21.703088712204352,21.430726248377542,1,1,0
1490,21.623001414771224,21.945022571346907,21.477480459556574,1,1,0
1491,21.650755411941681,22.092234503305097,21.533367190806441,1,1,0
1492,21.678453901117798,22.096266512583814,21.584539856422566,1,1,0
1493,21.706096993315562,21.706079393700215,21.595588905265988,1,1,0
1494,21.73368479932893,22.25415264861855,21.655458336479857,1,1,0
1495,21.761217429730273,21.97879328351468,21.684852422573933,1,1,0
1496,21.788694994870813,22.169226291684112,21.728886410674857,1,1,0
1497,21.816117604881072,22.049429826830909,21.758026721234497,1,1,0
1498,21.84348536967131,22.00603468956874,21.780572900173972,1,1,0
1499,21.870798398931967,22.243494217611897,21.822656656304691,1,1,0
1500,21.898056802134104,22.287520311601305,21.864916988604381,1,1,0
1501,21.925260688529836,22.15877650432045,21.891631490033117,1,1,0
1502,21.952410167152777,22.166717367383992,21.916639297065014,1,1,0
1503,21.97950534681847,22.27611395549452,21.949318811467698,1,1,0
1504,22.006546336124835,22.178238057608404,21.970129652025943,1,1,0
1505,22.033533243452585,22.569775334349153,22.024642895873509,1,1,0
1506,22.060466176965679,22.373872366635972,22.056391029579189,1,1,0
1507,22.087345244611747,22.335084927527749,22.081726838483604,1,1,0
1508,22.114170554122524,22.484314162259579,22.118325686099602,1,1,0
1509,22.140942213014277,22.420512136795342,22.145797181617397,1,1,0
1510,22.167660328588248,22.568087373972265,22.184187199104201,1,1,0
1511,22.19432500793107,22.483324112771605,22.211381463983056,1,1,0
1512,22.220936357915207,22.768101355076656,22.261992363173384,1,1,0
1513,22.247494485199375,22.53916186638525,22.287189590738098,1,1,0
1514,22.273999496228978,22.370761138540065,22.294787004174641,1,1,0
1515,22.300451497236519,22.225990588614884,22.288532784578297,1,1,0
1516,22.326850594242046,22.313542978933768,22.290806438610613,1,1,0
1517,22.353196893053561,22.73957667775154,22.331603733077969,1,1,0
1518,22.379490499267455,22.879402775307007,22.381403646007882,1,1,0
1519,22.405731518268919,22.488571801891585,22.391146205633675,1,1,0
1520,22.431920055232382,22.423128812009118,22.394053715304171,1,1,0
1521,22.458056215121918,22.725333633946097,22.424170071544346,1,1,0
1522,22.484140102691672,22.801032514350656,22.458430293617646,1,1,0
1523,22.510171822486289,22.708295063324663,22.481145272681921,1,1,0
1524,22.536151478841315,22.888685028762069,22.518194341416478,0,0,0
1525,22.527079175883632,22.660005874309924,22.531086298952246,0,0,0
1526,22.518025017531865,22.605966767237668,22.537893614250923,0,0,0
1527,22.508988967496801,22.378214480571067,22.523377329370934,0,0,0
1528,22.499970989561806,22.796812322948945,22.548235056059845,0,0,0
1529,22.490971047582683,22.968221484677652,22.586415640479647,0,0,0
1530,22.481989105487518,23.03708842662904,22.627385893765954,0,0,0
1531,22.473025127276543,22.792505674539704,22.642396782927204,0,0,0
1532,22.464079077021989,22.83173985434015,22.659609789419289,0,0,0
1533,22.455150918867943,22.756201755636425,22.66839087725721,0,0,0
1534,22.446240617030206,22.475049121289754,22.650814353987442,0,0,0
1535,22.437348135796146,22.912447286447762,22.674599166029289,0,0,0
1536,22.428473439524552,22.820952135977134,22.687903981479092,0,0,0
1537,22.419616492645503,22.37601604675929,22.659550532868202,0,0,0
1538,22.410777259660211,22.56268111834979,22.650744222457437,0,0,0
1539,22.401955705140892,22.93747286238964,22.676810462451275,0,0,0
1540,22.39315179373061,22.635584029445791,22.673062604905322,0,0,0
1541,22.38436549014315,22.567692112997687,22.663483469277356,0,0,0
1542,22.375596759162864,22.729367251657482,22.669472904039186,0,0,0
1543,22.366845565644539,22.831455011467582,22.68419855016904,0,0,0
1544,22.358111874513249,23.09933409887314,22.721938145505774,0,0,0
1545,22.349395650764222,22.726941750686972,22.722393018704064,0,0,0
1546,22.340696859462692,22.66742906572113,22.717396295705615,0,0,0
1547,22.332015465743766,22.402955855828601,22.688810801171343,0,0,0
1548,22.323351434812277,22.232097145925277,22.647291377967154,0,0,0
1549,22.314704731942651,22.633386687045761,22.646027315156118,0,0,0
1550,22.306075322478765,22.623613953963797,22.643989736865908,0,0,0
1551,22.297463171833808,22.603622994911589,22.640320033051879,0,0,0
1552,22.288868245490139,22.81993236126462,22.656648426525763,0,0,0
1553,22.280290508999158,22.702286792787724,22.660797368913215,0,0,0
1554,22.271729927981159,22.935980746415925,22.685814039595279,0,0,0
1555,22.263186468125198,22.392848495505397,22.659180808314382,0,0,0
1556,22.254660095188949,22.569066338055528,22.650988583745395,0,0,0
1557,22.246150774998572,22.150515313886242,22.605491013758201,0,0,0
1558,22.237658473448576,22.58010785451313,22.60318345382683,0,0,0
1559,22.22918315650168,22.595858271906764,22.602517528197733,0,0,0
1560,22.220724790188676,22.737917238674886,22.614826592786564,0,0,0
1561,22.212283340608298,22.609648678710833,22.614355873325135,0,0,0
1562,22.203858773927081,22.511857418300391,22.605037831959248,0,0,0
1563,22.195451056379227,22.446469670294192,22.590622544535151,0,0,0
1564,22.187060154266469,22.716657973366498,22.602080310792545,0,0,0
1565,22.178686033957934,22.628080739143478,22.604443986097174,0,0,0
1566,22.170328661890018,22.238923809152425,22.571214879102197,0,0,0
1567,22.161988004566236,22.213214763608345,22.538669414057303,0,0,0
1568,22.153664028557102,22.621635669463053,22.546211800912371,0,0,0
1569,22.145356700499988,22.689116879791023,22.55920317171952,0,0,0
1570,22.137065987098989,22.629846324498459,22.565625276517604,0,0,0
1571,22.128791855124792,22.676023112297365,22.575661443406673,0,0,0
1572,22.120534271414542,22.661867254608829,22.583498335334141,0,0,0
1573,22.112293202871712,22.147292111846156,22.54384322410796,0,0,0
1574,22.10406861646597,22.249071782207157,22.517045820298797,0,0,0
1575,22.095860479233039,22.355739899595232,22.502381645689383,0,0,0
1576,22.087668758274575,22.093342004461721,22.465196223759595,0,0,0
1577,22.079493420758027,22.532823848429224,22.471344189638653,0,0,0
1578,22.071334433916512,22.227104203405201,22.449140554526522,0,0,0
1579,22.063191765048678,21.950560208032726,22.403815068481631,0,0,0
1580,22.055065381518581,22.189066996721639,22.38429251650345,0,0,0
1581,22.046955250755545,22.579598574678105,22.402047612701146,0,0,0
1582,22.038861340254034,22.268488669168811,22.389905890561842,0,0,0
1583,22.030783617573526,22.249102394102763,22.377105572701925,0,0,0
1584,22.02272205033838,22.450303576780172,22.383759936709037,0,0,0
1585,22.014676606237703,22.531996463349664,22.397235984585457,0,0,0
1586,22.006647253025228,22.24363194169765,22.383271980686565,0,0,0
1587,21.998633958519179,22.294691010770389,22.375219165239642,0,0,0
1588,21.990636690602141,22.051208369349471,22.345763638340536,0,0,0
1589,21.982655417220936,22.297604179904255,22.341385505755419,0,0,0
1590,21.974690106386493,22.131594251505014,22.322313573550836,0,0,0
1591,21.966740726173722,22.463565217828844,22.335154632121565,0,0,0
1592,21.958807244721374,22.437447303994716,22.344453965928214,0,0,0
1593,21.950889630231931,22.177389606322912,22.329266296873186,0,0,0
1594,21.942987850971466,22.113935751994749,22.309690792793329,0,0,0
1595,21.935101875269524,22.307586235656888,22.30949946941729,0,0,0
1596,21.927231671518985,22.265432959475941,22.305493423058984,0,0,0
1597,21.919377208175948,22.259372949415283,22.30130065272774,0,0,0
1598,21.911538453759597,22.153210725192988,22.287837932042763,0,0,0
1599,21.903715376852077,22.435917100269545,22.301299674608835,0,0,0
1600,21.895907946098372,22.111593456220774,22.284053654755375,0,0,0
1601,21.888116130206175,22.351456541408979,22.290181189905702,0,0,0
1602,21.880339897945763,22.147380289401216,22.277199289859841,0,0,0
1603,21.872579218149873,22.36782280834576,22.285437791540378,0,0,0
1604,21.864834059713573,22.262507927988491,22.283353258490205,0,0,0
1605,21.857104391594145,22.25951974917125,22.281186575824847,0,0,0
1606,21.849390182810957,22.318724737729113,22.284599135997961,0,0,0
1607,21.841691402445335,22.240452694137037,22.280585823101514,0,0,0
1608,21.834008019640443,22.036949707859943,22.258437085352281,0,0,0
1609,21.82634000360116,22.6650191522629,22.295399091435065,0,0,0
1610,21.818687323593959,21.885832052284897,22.258165724239596,0,0,0
1611,21.811049948946771,22.28383355171427,22.260499163100931,0,0,0
1612,21.803427849048877,27.017353370590506,22.692940454690891,0,0,0
1613,21.79582099335078,22.192114952444456,22.64741086357758,0,0,0
1614,21.78822935136408,21.913492043350672,22.580690970829679,0,0,0
1615,21.780652892661351,21.982804265855322,22.526337634013828,0,0,0
1616,21.773091586876028,22.055345134946279,22.483520134098598,0,0,0
1617,21.765545403702276,21.786887739220223,22.42018991638238,0,0,0
1618,21.758014312894872,21.935497130268224,22.376126935826548,0,0,0
1619,21.750498284269081,21.776117318741864,22.321580607000669,0,0,0
1620,21.742997287700543,22.154348652549356,22.30637770205055,0,0,0
